movie_id,movie_title,movie_rank,movie_year,movie_runtime,movie_rating,movie_votes,movie_genres
tt5052474,Sicario: Day of the Soldado,102.,2018,122 min,7.0,"149,095","Action, Crime, Drama           "
tt6412452,The Ballad of Buster Scruggs,103.,2018,133 min,7.3,"148,753","Comedy, Drama, Musical           "
tt4566758,Mulan,104.,2020,115 min,5.7,"148,673","Action, Adventure, Drama           "
tt6266538,Vice,105.,2018,132 min,7.2,"148,546","Biography, Comedy, Drama           "
tt5814060,The Nun,106.,2018,96 min,5.3,"142,268","Horror, Mystery, Thriller           "
tt4500922,Maze Runner: The Death Cure,107.,2018,143 min,6.2,"141,415","Action, Adventure, Sci-Fi           "
tt13143964,Borat Subsequent Moviefilm,108.,2020,95 min,6.6,"141,409",Comedy           
tt3794354,Sonic the Hedgehog,109.,2020,99 min,6.5,"140,185","Action, Adventure, Comedy           "
tt7959026,The Mule,110.,2018,116 min,7.0,"138,365","Crime, Drama, Thriller           "
tt7395114,The Devil All the Time,111.,2020,138 min,7.1,"135,584","Crime, Drama, Thriller           "
tt2283336,Men in Black: International,112.,2019,114 min,5.6,"135,466","Action, Adventure, Comedy           "
tt2854926,Tag,113.,2018,100 min,6.5,"134,921","Action, Comedy           "
tt3829266,The Predator,114.,2018,107 min,5.3,"134,632","Action, Adventure, Sci-Fi           "
tt9893250,I Care a Lot,115.,2020,118 min,6.3,"133,365","Comedy, Crime, Drama           "
tt8110330,Dil Bechara,116.,2020,101 min,8.1,"131,179","Comedy, Drama, Romance           "
tt7984766,The King,117.,2019,140 min,7.3,"130,507","Biography, Drama, History           "
tt2386490,How to Train Your Dragon: The Hidden World,118.,2019,104 min,7.4,"129,952","Animation, Action, Adventure           "
tt1488606,Triple Frontier,119.,2019,125 min,6.4,"129,557","Action, Thriller           "
tt1618434,Murder Mystery,120.,2019,97 min,6.0,"129,228","Action, Comedy, Crime           "
tt5363618,Sound of Metal,121.,2019,120 min,7.7,"128,343","Drama, Music           "
tt2222042,Love and Monsters,122.,2020,109 min,6.9,"128,178","Action, Adventure, Comedy           "
tt1571234,Mortal Engines,123.,2018,128 min,6.1,"127,439","Action, Adventure, Fantasy           "
tt9495224,Black Mirror: Bandersnatch,124.,2018,90 min,7.1,"127,380","Drama, Fantasy, Mystery           "
tt6343314,Creed II,125.,2018,130 min,7.1,"126,613","Drama, Sport           "
tt8404614,The Two Popes,126.,2019,125 min,7.6,"124,361","Biography, Comedy, Drama           "
tt5886046,Escape Room,127.,2019,99 min,6.4,"123,701","Action, Adventure, Horror           "
tt5758778,Skyscraper,128.,2018,102 min,5.8,"123,394","Action, Adventure, Thriller           "
tt8847712,The French Dispatch,129.,2020,107 min,7.1,"121,362","Comedy, Drama, Romance           "
tt1489887,Booksmart,130.,2019,102 min,7.1,"120,058",Comedy           
tt2557478,Pacific Rim: Uprising,131.,2018,111 min,5.6,"118,364","Action, Adventure, Fantasy           "
tt7737786,Greenland,132.,2020,119 min,6.4,"117,788","Action, Thriller           "
tt1590193,The Commuter,133.,2018,104 min,6.3,"116,804","Action, Mystery, Thriller           "
tt10189514,Soorarai Pottru,134.,2020,153 min,8.7,"116,756",Drama           
tt5164432,"Love, Simon",135.,2018,110 min,7.5,"115,883","Comedy, Drama, Romance           "
tt6394270,Bombshell,136.,2019,109 min,6.8,"115,855","Biography, Drama           "
tt8244784,The Hunt,137.,2020,90 min,6.5,"115,339","Action, Horror, Thriller           "
tt1025100,Gemini Man,138.,2019,117 min,5.7,"114,287","Action, Adventure, Sci-Fi           "
tt1259528,Den of Thieves,139.,2018,140 min,7.0,"113,068","Action, Crime, Drama           "
tt2139881,Long Shot,140.,2019,125 min,6.8,"112,168","Comedy, Romance           "
tt3846674,To All the Boys I've Loved Before,141.,2018,99 min,7.0,"108,783","Comedy, Drama, Romance           "
tt7401588,Instant Family,142.,2018,118 min,7.3,"108,014","Comedy, Drama           "
