movie_id,rank,votes,title,originalTitle,year,rating,titleType,isAdult,runtime,genres
tt6499752,70.0,186793.0,Upgrade,Upgrade,2018.0,7.5,movie,0,100.0,"Action, Sci-Fi, Thriller           "
tt6565702,68.0,188182.0,X-Men: Dark Phoenix,Dark Phoenix,2019.0,5.7,movie,0,113.0,"Action, Adventure, Sci-Fi           "
tt3741700,71.0,183713.0,Godzilla: King of the Monsters,Godzilla: King of the Monsters,2019.0,6.0,movie,0,132.0,"Action, Adventure, Fantasy           "
tt6450804,73.0,178590.0,Terminator: Dark Fate,Terminator: Dark Fate,2019.0,6.2,movie,0,128.0,"Action, Adventure, Sci-Fi           "
tt1560220,72.0,180856.0,Zombieland: Double Tap,Zombieland: Double Tap,2019.0,6.7,movie,0,99.0,"Action, Comedy, Horror           "
tt1070874,74.0,177726.0,The Trial of the Chicago 7,The Trial of the Chicago 7,2020.0,7.7,movie,0,129.0,"Drama, History, Thriller           "
tt2066051,76.0,175931.0,Rocketman,Rocketman,2019.0,7.3,movie,0,121.0,"Biography, Drama, Musical           "
tt4779682,80.0,172478.0,The Meg,The Meg,2018.0,5.6,movie,0,113.0,"Action, Horror, Sci-Fi           "
tt8106534,75.0,177611.0,6 Underground,6 Underground,2019.0,6.1,movie,0,128.0,"Action, Thriller           "
tt3104988,77.0,173424.0,Crazy Rich Asians,Crazy Rich Asians,2018.0,6.9,movie,0,120.0,"Comedy, Drama, Romance           "
tt4520988,79.0,173064.0,Frozen II,Frozen II,2019.0,6.8,movie,0,103.0,"Animation, Adventure, Comedy           "
tt5104604,81.0,169744.0,Isle of Dogs,Isle of Dogs,2018.0,7.8,movie,0,101.0,"Animation, Adventure, Comedy           "
tt2231461,82.0,169352.0,Rampage,Rampage,2018.0,6.1,movie,0,107.0,"Action, Adventure, Sci-Fi           "
tt7846844,66.0,189213.0,Enola Holmes,Enola Holmes,2020.0,6.6,movie,0,123.0,"Action, Adventure, Crime           "
tt7668870,86.0,163659.0,Searching,Searching,2018.0,7.6,movie,0,102.0,"Drama, Horror, Mystery           "
tt4701182,83.0,166277.0,Bumblebee,Bumblebee,2018.0,6.7,movie,0,114.0,"Action, Adventure, Sci-Fi           "
tt9620292,78.0,173233.0,Promising Young Woman,Promising Young Woman,2020.0,7.5,movie,0,113.0,"Crime, Drama, Mystery           "
tt5884052,85.0,164135.0,PokÃ©mon Detective Pikachu,Pokémon: Detective Pikachu,2019.0,6.5,movie,0,104.0,"Action, Adventure, Comedy           "
tt7556122,84.0,165730.0,The Old Guard,The Old Guard,2020.0,6.6,movie,0,125.0,"Action, Thriller           "
tt1502397,88.0,161393.0,Bad Boys for Life,Bad Boys for Life,2020.0,6.5,movie,0,124.0,"Action, Comedy, Crime           "
tt6155172,92.0,158978.0,Roma,Roma,2018.0,7.7,movie,0,135.0,Drama           
tt3766354,90.0,161077.0,The Equalizer 2,The Equalizer 2,2018.0,6.7,movie,0,121.0,"Action, Crime, Thriller           "
tt5848272,87.0,162121.0,Ralph Breaks the Internet,Ralph Breaks the Internet,2018.0,7.0,movie,0,112.0,"Animation, Adventure, Comedy           "
tt9770150,89.0,161209.0,Nomadland,Nomadland,2020.0,7.3,movie,0,107.0,Drama           
tt8079248,95.0,153657.0,Yesterday,Yesterday,2019.0,6.8,movie,0,116.0,"Comedy, Fantasy, Music           "
tt9484998,91.0,159748.0,Palm Springs,Palm Springs,2020.0,7.4,movie,0,90.0,"Comedy, Fantasy, Mystery           "
tt1502407,94.0,156324.0,Halloween,Halloween,2018.0,6.5,movie,0,106.0,"Crime, Horror, Thriller           "
tt7040874,99.0,150434.0,A Simple Favor,A Simple Favor,2018.0,6.8,movie,0,117.0,"Comedy, Crime, Mystery           "
tt6628394,98.0,151354.0,Bad Times at the El Royale,Bad Times at the El Royale,2018.0,7.1,movie,0,141.0,"Crime, Drama, Mystery           "
tt4566758,104.0,148673.0,Mulan,Mulan,2020.0,5.7,movie,0,115.0,"Action, Adventure, Drama           "
tt5052474,102.0,149095.0,Sicario: Day of the Soldado,Sicario: Day of the Soldado,2018.0,7.0,movie,0,122.0,"Action, Crime, Drama           "
tt6412452,103.0,148753.0,The Ballad of Buster Scruggs,The Ballad of Buster Scruggs,2018.0,7.3,movie,0,133.0,"Comedy, Drama, Musical           "
tt6266538,105.0,148546.0,Vice,Vice,2018.0,7.2,movie,0,132.0,"Biography, Comedy, Drama           "
tt4729430,100.0,150032.0,Klaus,Klaus,2019.0,8.1,movie,0,96.0,"Animation, Adventure, Comedy           "
tt7146812,101.0,149886.0,Onward,Onward,2020.0,7.4,movie,0,102.0,"Animation, Adventure, Comedy           "
tt10288566,93.0,157993.0,Another Round,Druk,2020.0,7.7,movie,0,117.0,"Comedy, Drama           "
tt7798634,97.0,152406.0,Ready or Not,Ready or Not,2019.0,6.8,movie,0,95.0,"Action, Comedy, Horror           "
tt13143964,108.0,141409.0,Borat Subsequent Moviefilm,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,6.6,movie,0,95.0,Comedy           
tt5814060,106.0,142268.0,The Nun,The Nun,2018.0,5.3,movie,0,96.0,"Horror, Mystery, Thriller           "
tt4500922,107.0,141415.0,Maze Runner: The Death Cure,Maze Runner: The Death Cure,2018.0,6.2,movie,0,143.0,"Action, Adventure, Sci-Fi           "
tt7959026,110.0,138365.0,The Mule,The Mule,2018.0,7.0,movie,0,116.0,"Crime, Drama, Thriller           "
tt10272386,96.0,152857.0,The Father,The Father,2020.0,8.2,movie,0,97.0,"Drama, Mystery           "
tt2854926,113.0,134921.0,Tag,Tag,2018.0,6.5,movie,0,100.0,"Action, Comedy           "
tt2283336,112.0,135466.0,Men in Black: International,Men in Black: International,2019.0,5.6,movie,0,114.0,"Action, Adventure, Comedy           "
tt8110330,116.0,131179.0,Dil Bechara,Dil Bechara,2020.0,8.1,movie,0,101.0,"Comedy, Drama, Romance           "
tt9893250,115.0,133365.0,I Care a Lot,I Care a Lot,2020.0,6.3,movie,0,118.0,"Comedy, Crime, Drama           "
tt3829266,114.0,134632.0,The Predator,The Predator,2018.0,5.3,movie,0,107.0,"Action, Adventure, Sci-Fi           "
tt7395114,111.0,135584.0,The Devil All the Time,The Devil All the Time,2020.0,7.1,movie,0,138.0,"Crime, Drama, Thriller           "
tt9495224,124.0,127380.0,Black Mirror: Bandersnatch,Black Mirror: Bandersnatch,2018.0,7.1,movie,0,90.0,"Drama, Fantasy, Mystery           "
tt1488606,119.0,129557.0,Triple Frontier,Triple Frontier,2019.0,6.4,movie,0,125.0,"Action, Thriller           "
tt1571234,123.0,127439.0,Mortal Engines,Mortal Engines,2018.0,6.1,movie,0,128.0,"Action, Adventure, Fantasy           "
tt2386490,118.0,129952.0,How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,2019.0,7.4,movie,0,104.0,"Animation, Action, Adventure           "
tt1618434,120.0,129228.0,Murder Mystery,Murder Mystery,2019.0,6.0,movie,0,97.0,"Action, Comedy, Crime           "
tt8404614,126.0,124361.0,The Two Popes,The Two Popes,2019.0,7.6,movie,0,125.0,"Biography, Comedy, Drama           "
tt6343314,125.0,126613.0,Creed II,Creed II,2018.0,7.1,movie,0,130.0,"Drama, Sport           "
tt7984766,117.0,130507.0,The King,The King,2019.0,7.3,movie,0,140.0,"Biography, Drama, History           "
tt5758778,128.0,123394.0,Skyscraper,Skyscraper,2018.0,5.8,movie,0,102.0,"Action, Adventure, Thriller           "
tt2222042,122.0,128178.0,Love and Monsters,Love and Monsters,2020.0,6.9,movie,0,109.0,"Action, Adventure, Comedy           "
tt5363618,121.0,128343.0,Sound of Metal,Sound of Metal,2019.0,7.7,movie,0,120.0,"Drama, Music           "
tt3794354,109.0,140185.0,Sonic the Hedgehog,Sonic the Hedgehog,2020.0,6.5,movie,0,99.0,"Action, Adventure, Comedy           "
tt5886046,127.0,123701.0,Escape Room,Escape Room,2019.0,6.4,movie,0,99.0,"Action, Adventure, Horror           "
tt2557478,131.0,118364.0,Pacific Rim: Uprising,Pacific Rim: Uprising,2018.0,5.6,movie,0,111.0,"Action, Adventure, Fantasy           "
tt1590193,133.0,116804.0,The Commuter,The Commuter,2018.0,6.3,movie,0,104.0,"Action, Mystery, Thriller           "
tt1489887,130.0,120058.0,Booksmart,Booksmart,2019.0,7.1,movie,0,102.0,Comedy           
tt5164432,135.0,115883.0,"Love, Simon","Love, Simon",2018.0,7.5,movie,0,110.0,"Comedy, Drama, Romance           "
tt6394270,136.0,115855.0,Bombshell,Bombshell,2019.0,6.8,movie,0,109.0,"Biography, Drama           "
tt1025100,138.0,114287.0,Gemini Man,Gemini Man,2019.0,5.7,movie,0,117.0,"Action, Adventure, Sci-Fi           "
tt7737786,132.0,117788.0,Greenland,Greenland,2020.0,6.4,movie,0,119.0,"Action, Thriller           "
tt10189514,134.0,116756.0,Soorarai Pottru,Soorarai Pottru,2020.0,8.7,movie,0,153.0,Drama           
tt2139881,140.0,112168.0,Long Shot,Long Shot,2019.0,6.8,movie,0,125.0,"Comedy, Romance           "
tt1259528,139.0,113068.0,Den of Thieves,Den of Thieves,2018.0,7.0,movie,0,140.0,"Action, Crime, Drama           "
tt7401588,142.0,108014.0,Instant Family,Instant Family,2018.0,7.3,movie,0,118.0,"Comedy, Drama           "
tt2548396,143.0,106130.0,The Cloverfield Paradox,The Cloverfield Paradox,2018.0,5.5,movie,0,102.0,"Action, Horror, Sci-Fi           "
tt3846674,141.0,108783.0,To All the Boys I've Loved Before,To All the Boys I've Loved Before,2018.0,7.0,movie,0,99.0,"Comedy, Drama, Romance           "
tt8244784,137.0,115339.0,The Hunt,The Hunt,2020.0,6.5,movie,0,90.0,"Action, Horror, Thriller           "
tt4777008,144.0,106129.0,Maleficent: Mistress of Evil,Maleficent: Mistress of Evil,2019.0,6.6,movie,0,119.0,"Adventure, Family, Fantasy           "
tt4530422,146.0,100055.0,Overlord,Overlord,2018.0,6.6,movie,0,110.0,"Action, Horror, Sci-Fi           "
tt5503686,145.0,100915.0,Hustlers,Hustlers,2019.0,6.3,movie,0,110.0,"Comedy, Crime, Drama           "
